date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
12/31/2011 23:52,seattle,wa,us,circle,300,5 minutes,8-10 orange UFO&#39s sited New Years Eve&#44 just before midnight in Seattle.,1/24/2012,47.6063889,-122.3308333
1/23/1995 06:15,seattle,wa,us,NA,30,30 sec.,Man calls to report he &amp; wife witnessed metallic disc hovering just above Pug. Sound. Streaks off. (No 2nd call),11/2/1999,47.6063889,-122.3308333
1/23/2007 20:55,seattle,wa,us,light,4,3 to 4 seconds,Two red balls of light heading East to West over Seattle on converging paths.,2/1/2007,47.6063889,-122.3308333
1/23/2008 02:00,seattle,wa,us,teardrop,180,3 minutes,Teardrop-shaped&#44 pulsating&#44 hovering object seen over water,2/14/2008,47.6063889,-122.3308333
12/4/1995 02:14,seattle,wa,us,light,2,2 sec.,Man reports a brief power failure&#44 looks outside and witnesses a luminous obj.&#44 size of star&#44 streak from W to E in southern sky.,11/2/1999,47.6063889,-122.3308333
1/24/2014 19:00,seattle,wa,us,light,3600,1 hour,Object appeared near the Orion; cycling through a number of colors.  ((NUFORC Note:  Probably Sirius?  PD)),1/30/2014,47.6063889,-122.3308333
1/24/2014 21:30,seattle,wa,us,light,60,60 seconds,Spot of light zig-zagging over Seattle.,1/30/2014,47.6063889,-122.3308333
12/5/1996 22:00,seattle,wa,us,NA,30,30 sec.,Man looking W over Pug. Sound from high-rise apt. sees large &quot;flattened oval of red/orange light&quot; arch across sky in perfect arc.,11/2/1999,47.6063889,-122.3308333
1/25/2001 22:33,seattle,wa,us,fireball,1,one secaond,While driving noth on I-5 I observed the white fireball dropping out of the sky as I looked in the direction over northeast Seattle.  I,2/18/2001,47.6063889,-122.3308333
1/26/2000 19:37,seattle,wa,us,fireball,15,8to15sec.,Driving to a meeting in Seattle Capitol Hill area&#44 s. bound I-5 exited at Roanoke&#44 I was stopped at light to turn&#44 very clear winter ni,3/16/2000,47.6063889,-122.3308333
1/27/2007 17:30,seattle,wa,us,disk,1200,20 min,Black disk with red lights flys over the seattle area.,2/1/2007,47.6063889,-122.3308333
12/8/1999 17:40,seattle,wa,us,light,5,5sec,intense blue light travelling se across entire sky,12/16/1999,47.6063889,-122.3308333
1/28/2007 20:00,seattle,wa,us,oval,2,a few seconds,UFO streaks across the night sky,2/1/2007,47.6063889,-122.3308333
1/3/1995 21:55,seattle,wa,us,NA,0.5,0.5 second,Couple sees &quot;meteor&quot; streak from south to north&#44 but turned suddenly. Very fast.,11/2/1999,47.6063889,-122.3308333
1/3/2008 15:00,seattle,wa,us,unknown,300,5min,Abduction,1/21/2008,47.6063889,-122.3308333
1/5/1995 09:50,seattle,wa,us,light,5,5 seconds,MUFON member witnesses very bright light during daylight hours for 5 sec..  Appears 2nd time&#44 disappears.,11/2/1999,47.6063889,-122.3308333
1/5/1999 05:36,seattle,wa,us,teardrop,3,3 seconds,The object was approximatly equal in size to 1/4 full moon.  It was travelling from NW to SE approximately 500 feet over Lake Union. Th,2/16/1999,47.6063889,-122.3308333
1/5/2001 17:30,seattle,wa,us,sphere,60,1 minute,I was walking home from work&#44 and was within a block from home. I looked up and saw a object&#44 very quiet&#44 and I was wondering what kind,2/18/2001,47.6063889,-122.3308333
1/5/2013 06:10,seattle,wa,us,circle,5,5 seconds,Lights over Aurora.,2/4/2013,47.6063889,-122.3308333
1/7/2001 15:26,seattle,wa,us,light,120,2min,Ravena St and I5 two men were looking at the sky and pointing up&#44 i believed they were bird watching&#44but i realized they were pointing,2/18/2001,47.6063889,-122.3308333
1/9/2010 19:00,seattle,wa,us,cylinder,60,1 minute,Reviewing my photos I came across a suspicious object in the upper right corner and it way flying at an odd angle. Too steep for a plan,2/14/2010,47.6063889,-122.3308333
2/10/1995 24:00,seattle,wa,us,NA,30,30 sec,Woman&#44 out walking dog&#44 sees bright bluish light rise from Pug. Sound&#44 turn&#44 then zip off.  No sound. Good rept.,11/2/1999,47.6063889,-122.3308333
2/10/2001 00:10,seattle,wa,us,circle,5,5 sec.,Looking straight up&#44 I saw a rectangular object with only a faint outline travelling East to West&#44 no noise&#44 no flashing lights but dim,2/18/2001,47.6063889,-122.3308333
2/10/2006 17:25,seattle,wa,us,unknown,120,1-2 minutes,Object with rows of very bright&#44 clear lights around perimeter hovering silently 1-2 minutes before exiting.,3/11/2006,47.6063889,-122.3308333
2/10/2006 17:30,seattle,wa,us,cylinder,120,2 minutes,Cylindrical object with 3-4 rows of bright lights &amp; vapor between ground &amp; object  hovering silently at 500-1000&#39 above ground.,3/11/2006,47.6063889,-122.3308333
2/11/2002 22:10,seattle,wa,us,fireball,1,1 second,Falling Object,2/22/2002,47.6063889,-122.3308333
2/11/2003 01:20,seattle,wa,us,other,3,2-3 seconds,Blue beam of light in my face....from the sky.,2/11/2003,47.6063889,-122.3308333
